"id","county","classify","project_type","zbkzj","k1","k2","kbjj","publish_time","source_website_address","numbers_bidders","trade_method"
"ah-huainan-00ee95ae-0e87-4c88-8536-bd69a6fef380-1KB",,"工程建设","市政公用工程","13987254.03","0.45","0.98","12998355.17","25/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230625/00ee95ae-0e87-4c88-8536-bd69a6fef380-1KB.html","196","公开招标"
"ah-huainan-015f99a5-d169-4029-bf02-0fa2717d9ad4-1KB","市级","工程建设","建筑工程",,"0",,"2209000.00","4/4/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230404/015f99a5-d169-4029-bf02-0fa2717d9ad4-1KB.html","33","公开招标"
"ah-huainan-016d233d-3d1e-4ef3-adad-2d5e59f0efe5-1KB","市级","工程建设","公路工程",,"0",,"44217755.88","17/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230517/016d233d-3d1e-4ef3-adad-2d5e59f0efe5-1KB.html","73","公开招标"
"ah-huainan-01c8eaaa-7d0b-4610-8a09-5b65b7c29469-1KB",,"工程建设","建筑工程",,"0",,"13180000.00","29/1/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230129/01c8eaaa-7d0b-4610-8a09-5b65b7c29469-1KB.html","12","公开招标"
"ah-huainan-01ca01ac-ba2b-4de1-9306-b66c0a223752-1KB","市级","工程建设","工程施工","5198308.80",,,"4834427.18","22/2/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230222/01ca01ac-ba2b-4de1-9306-b66c0a223752-1KB.html","18","公开招标"
"ah-huainan-03a5cfd9-a8a1-44cb-9c07-e15448d55031-1KB","市级","工程建设","公路工程",,"0",,"9685791.71","8/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230308/03a5cfd9-a8a1-44cb-9c07-e15448d55031-1KB.html","65","公开招标"
"ah-huainan-0401977c-c14a-4b34-9d92-8b60ca0d35de-1KB","市级","工程建设","市政公用工程","97500000.0","0",,"83","19/4/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230419/0401977c-c14a-4b34-9d92-8b60ca0d35de-1KB.html","11","公开招标"
"ah-huainan-0475afc0-0b3d-45cb-91be-634a70db1750-1KB",,"工程建设",,,"0.45","0.95",,"26/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230626/0475afc0-0b3d-45cb-91be-634a70db1750-1KB.html","175","公开招标"
"ah-huainan-054724c2-af66-4a94-983b-ee0224c61d92-1KB","寿县","工程建设","公路工程","5728467.9","0.6","0.96","5289094.41","28/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230328/054724c2-af66-4a94-983b-ee0224c61d92-1KB.html","150","公开招标"
"ah-huainan-05f1af83-b585-4628-8c02-597add4007e0-1KB","市级","工程建设","公路工程",,"0",,"35212608.11","13/4/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230413/05f1af83-b585-4628-8c02-597add4007e0-1KB.html","13","公开招标"
"ah-huainan-06672b9e-fe89-41cc-a71e-f46b96ad61ff-1KB","寿县","工程建设","公路工程","41444971.06",,,"46765902.93","23/2/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230223/06672b9e-fe89-41cc-a71e-f46b96ad61ff-1KB.html","280","公开招标"
"ah-huainan-07f4d33e-af07-4c55-b0ba-7b1b10b9abba-1KB","寿县","工程建设","水利水电工程","5118706.68","0.1",,"4655486.88","29/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230529/07f4d33e-af07-4c55-b0ba-7b1b10b9abba-1KB.html","308","公开招标"
"ah-huainan-09357698-b669-4a87-a7d5-c76e144ee0d7","市级","工程建设","公路工程",,"0",,,"5/9/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20220905/09357698-b669-4a87-a7d5-c76e144ee0d7.html","19","公开招标"
"ah-huainan-09c1364c-5105-4e70-bc0d-20c8f521b971-1KB",,"工程建设","工程监理 ",,,,"14550000","22/12/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221222/09c1364c-5105-4e70-bc0d-20c8f521b971-1KB.html","12","公开招标"
"ah-huainan-0a207404-ef4b-4fd4-98c3-2c15327685fb-1KB","寿县","工程建设","市政公用工程","27726640.26",,,"23567644.22","18/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230524/0a207404-ef4b-4fd4-98c3-2c15327685fb-1KB.html","101","公开招标"
"ah-huainan-0a2162b6-28cc-4608-8a7e-fd2e19c762b2-1KB","市级","工程建设","建筑工程",,"0",,"2337000.00","6/12/2022 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221206/0a2162b6-28cc-4608-8a7e-fd2e19c762b2-1KB.html","27","公开招标"
"ah-huainan-0a3a0d87-ec29-46e9-9893-3586b3a06faf-1KB","市级","工程建设","建筑工程","100000000.0","0",,"88648000.00","22/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230322/0a3a0d87-ec29-46e9-9893-3586b3a06faf-1KB.html","15","公开招标"
"ah-huainan-0a5473bd-a81d-44c6-b50a-4ab3d7b331e1-1KB","寿县","工程建设","公路工程","2507261.14","0.45","0.92","2194856.41","30/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230330/0a5473bd-a81d-44c6-b50a-4ab3d7b331e1-1KB.html","142","公开招标"
"ah-huainan-0ad68f1d-523b-4693-a8b8-ecfe235f3cb1-1KB","寿县","工程建设","建筑工程",,,,"836000.00","16/5/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230516/0ad68f1d-523b-4693-a8b8-ecfe235f3cb1-1KB.html","76","公开招标"
"ah-huainan-0adb771b-95fb-4bc6-a8c5-65582ac717b8-1KB","寿县","工程建设","公路工程","4152156.44","0.4","0.92","3630894.72","31/3/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230331/0adb771b-95fb-4bc6-a8c5-65582ac717b8-1KB.html","153","公开招标"
"ah-huainan-0af4d2d7-c8d7-42c0-bdf2-f93e36a34820-1KB",,"工程建设",,,"0",,,"25/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230625/0af4d2d7-c8d7-42c0-bdf2-f93e36a34820-1KB.html","38","公开招标"
