"id","source_website_address","city","zbkzj","kbjj","k1","k2"
"ah-luan-00d945a6-892c-4cc6-b5be-33944f341918_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=00d945a6-892c-4cc6-b5be-33944f341918&categorynum=001001012&relationguid=00d945a6-892c-4cc6-b5be-33944f341918","六安市","4777966.17","4699231.28",,
"ah-luan-0151ca22-736b-41a5-a41e-fea5b87b3e56_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0151ca22-736b-41a5-a41e-fea5b87b3e56&categorynum=001001012&relationguid=0151ca22-736b-41a5-a41e-fea5b87b3e56","六安市",,,,
"ah-luan-01d5374e-03d3-4ddc-b091-1796f1404a10_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=01d5374e-03d3-4ddc-b091-1796f1404a10&categorynum=001001012&relationguid=01d5374e-03d3-4ddc-b091-1796f1404a10","六安市",,,,
"ah-luan-01ec71bc-57fd-4f39-b374-1a278b59f392_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=01ec71bc-57fd-4f39-b374-1a278b59f392&categorynum=001001012&relationguid=01ec71bc-57fd-4f39-b374-1a278b59f392","六安市",,,,
"ah-luan-020ccc44-0fbc-419b-827f-e2af8d06e12a_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=020ccc44-0fbc-419b-827f-e2af8d06e12a&categorynum=001001012&relationguid=020ccc44-0fbc-419b-827f-e2af8d06e12a","六安市","1.5","1.29",,
"ah-luan-025df538-6877-4076-8717-df4c0cc6ba05_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=025df538-6877-4076-8717-df4c0cc6ba05&categorynum=001001012&relationguid=025df538-6877-4076-8717-df4c0cc6ba05","六安市","2606579.24","2345804.03",,
"ah-luan-036cfd20-2826-4c77-8eb5-67a37c2aecc6_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=036cfd20-2826-4c77-8eb5-67a37c2aecc6&categorynum=001001012&relationguid=036cfd20-2826-4c77-8eb5-67a37c2aecc6","六安市","7495698.22","7233348.78",,
"ah-luan-048505ab-185f-4f31-bd52-cc80f3e78032_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=048505ab-185f-4f31-bd52-cc80f3e78032&categorynum=001001012&relationguid=048505ab-185f-4f31-bd52-cc80f3e78032","六安市","19631585.60","17672353.36",,
"ah-luan-05638888-0a86-44a6-85d7-b6b57abc02ee_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=05638888-0a86-44a6-85d7-b6b57abc02ee&categorynum=001001012&relationguid=05638888-0a86-44a6-85d7-b6b57abc02ee","六安市","50000000000.0","4360085.96",,
"ah-luan-05cda45d-d109-4d5a-9d91-f273e1287f4b_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=05cda45d-d109-4d5a-9d91-f273e1287f4b&categorynum=001001012&relationguid=05cda45d-d109-4d5a-9d91-f273e1287f4b","六安市",,,,
"ah-luan-061d2a70-dede-4b33-9cd0-12fb84bc5a0b_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=061d2a70-dede-4b33-9cd0-12fb84bc5a0b&categorynum=001001012&relationguid=061d2a70-dede-4b33-9cd0-12fb84bc5a0b","六安市","9637734.53","8192076.36",,
"ah-luan-069621d7-813b-46ae-8603-70437818d9ff_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=069621d7-813b-46ae-8603-70437818d9ff&categorynum=001001012&relationguid=069621d7-813b-46ae-8603-70437818d9ff","六安市",,,,
"ah-luan-06fa4428-4e56-4da2-83b7-3f5f8f310349_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=06fa4428-4e56-4da2-83b7-3f5f8f310349&categorynum=001001012&relationguid=06fa4428-4e56-4da2-83b7-3f5f8f310349","六安市","10594684.40",,,
"ah-luan-07065092-c61b-4971-82ed-735b65a469f0_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=07065092-c61b-4971-82ed-735b65a469f0&categorynum=001001012&relationguid=07065092-c61b-4971-82ed-735b65a469f0","六安市","6832162.36","2023",,
"ah-luan-081bcfb1-401e-4c48-af4f-ab56e15c166a_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=081bcfb1-401e-4c48-af4f-ab56e15c166a&categorynum=001001012&relationguid=081bcfb1-401e-4c48-af4f-ab56e15c166a","六安市","9515366.41","8822641.78",,
"ah-luan-088f6395-624c-4c0f-b59d-489599f7fdf3_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=088f6395-624c-4c0f-b59d-489599f7fdf3&categorynum=001001012&relationguid=088f6395-624c-4c0f-b59d-489599f7fdf3","六安市","11322946.51","0438888.88",,
"ah-luan-09c9176b-1a4f-44ee-b46c-8a92eee0c38c_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=09c9176b-1a4f-44ee-b46c-8a92eee0c38c&categorynum=001001012&relationguid=09c9176b-1a4f-44ee-b46c-8a92eee0c38c","六安市","24537560.68","20989429.44",,
"ah-luan-0a48a22d-fa03-491c-8096-435bc4116076_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0a48a22d-fa03-491c-8096-435bc4116076&categorynum=001001012&relationguid=0a48a22d-fa03-491c-8096-435bc4116076","六安市",,,,
"ah-luan-0a5e965a-a25a-4fb2-b5d0-3c2cf87d97ca_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0a5e965a-a25a-4fb2-b5d0-3c2cf87d97ca&categorynum=001001012&relationguid=0a5e965a-a25a-4fb2-b5d0-3c2cf87d97ca","六安市","6500000.00","6060800.00",,
"ah-luan-0ac56471-69f0-4b2b-841a-b36cded31515_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0ac56471-69f0-4b2b-841a-b36cded31515&categorynum=001001012&relationguid=0ac56471-69f0-4b2b-841a-b36cded31515","六安市","6368000.96","5983732.08",,
"ah-luan-0ad9ac20-925a-4917-82ed-996ecdf28edc_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0ad9ac20-925a-4917-82ed-996ecdf28edc&categorynum=001001012&relationguid=0ad9ac20-925a-4917-82ed-996ecdf28edc","六安市","5721316.52","4874561.33",,
"ah-luan-0c1d56c5-c271-4dc3-903c-6ee3981c991a_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0c1d56c5-c271-4dc3-903c-6ee3981c991a&categorynum=001001012&relationguid=0c1d56c5-c271-4dc3-903c-6ee3981c991a","六安市",,,,
"ah-luan-0c636e90-09c7-4ebc-99b0-47815ce8af0e_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0c636e90-09c7-4ebc-99b0-47815ce8af0e&categorynum=001001012&relationguid=0c636e90-09c7-4ebc-99b0-47815ce8af0e","六安市","17543437.84","15777948.42",,
"ah-luan-0dd46669-4856-4c64-9792-b67bd3997aa8_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0dd46669-4856-4c64-9792-b67bd3997aa8&categorynum=001001012&relationguid=0dd46669-4856-4c64-9792-b67bd3997aa8","六安市","6262991.57","5765885.59",,
"ah-luan-0dfb711b-923c-4c09-9972-ee36db21779f_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0dfb711b-923c-4c09-9972-ee36db21779f&categorynum=001001012&relationguid=0dfb711b-923c-4c09-9972-ee36db21779f","六安市",,,,
"ah-luan-0e23df1f-155b-4e64-9f37-07b273c9f4e7_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0e23df1f-155b-4e64-9f37-07b273c9f4e7&categorynum=001001012&relationguid=0e23df1f-155b-4e64-9f37-07b273c9f4e7","六安市","230786171.06","200783968.83",,
"ah-luan-0e3828a3-566a-4272-b8cb-867098624a60_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=0e3828a3-566a-4272-b8cb-867098624a60&categorynum=001001012&relationguid=0e3828a3-566a-4272-b8cb-867098624a60","六安市","4825016.55","4342514.90",,
