id,source_website_address,city,zbkzj,kbjj,k1,k2,project_type,publish_time,suck_factor,group,m,x1,x2,x3,B
ah-chizhou-18234ae2da3d42f98ddbf6fa84afa426,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/18234ae2da3d42f98ddbf6fa84afa426,池州市,41889629.22,39196963.85,8.2,,建筑工程,2022/4/14,抽取系数情况：B值系数组为3号球，X1为2号球，对应系数1.6，X2为10号球，对应系数10.0，X3为8号球，对应系数为8.2；m值为5号球，对应系数0.9,3,0.9,1.6,10,8.2,6.6
ah-chizhou-866d6c15d7bd4e20a03037752370442a,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/866d6c15d7bd4e20a03037752370442a,池州市,10756212.43,9973160.17,14.4,,市政公用工程,2022/5/6,抽取系数情况：B值系数组为2号球，X1为2号球，对应系数2.4，X2为4号球，对应系数5.6，X3为10号球，对应系数为14.4；m值为4号球，对应系数0.7,2,0.7,2.4,5.6,14.4,7.47
ah-chizhou-a9295cf82dde42e585dc65c05201efed,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/a9295cf82dde42e585dc65c05201efed,池州市,4645489.71,4438440.23,,,市政公用工程,2022/5/11,,1,0.5,1.3,1.3,7.7,3.43
ah-chizhou-4ae81a26a1a8464b9aa80042228c3e76,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/4ae81a26a1a8464b9aa80042228c3e76,池州市,4174800.24,3978542.88,,,市政公用工程,2022/5/12,抽取系数情况：B值系数组为1号球代表对应系数组①；X1为5号球代表对应系数5.8；X2为3号球代表对应系数2.7；X3为2号球代表对应系数1.5；m值为4号球代表对应系数0.7,1,0.7,5.8,2.7,1.5,3.33
ah-chizhou-91490b657ef148ac980cea14fc66e4c3,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/91490b657ef148ac980cea14fc66e4c3,池州市,6311229.08,5870984.31,,,市政公用工程,2022/5/13,抽取系数组数：4号球（第四组）现场抽取X1值球号：6对应系数值：9.1现场抽取X1值球号：1对应系数值：1.2现场抽取X1值球号：9对应系数值：13.9现场抽取M值球号：2对应系数值：0.3,4,0.3,9.1,1.2,13.9,8.07
ah-chizhou-2aee03f4781f47219557e7bbb72820c6,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/2aee03f4781f47219557e7bbb72820c6,池州市,8952235.76,8323273.29,,,市政公用工程,2022/5/24,抽取系数组数：4号球（第四组）现场抽取X1值球号：8对应系数值：11.7现场抽取X1值球号：4对应系数值：6.2现场抽取X1值球号：1对应系数值：1.2现场抽取M值球号：3对应系数值：0.5,4,0.5,11.7,6.2,1.2,6.37
ah-chizhou-bdf76aee46c94347ba5912fc98098b9c,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/bdf76aee46c94347ba5912fc98098b9c,池州市,7724163.71,7161426.18,,,市政公用工程,2022/5/24,抽取系数组数：2号球（第二组）现场抽取X1值球号：6对应系数值：8.3现场抽取X1值球号：4对应系数值：5.6现场抽取X1值球号：3对应系数值：3.7现场抽取M值球号：1对应系数值：0.1,2,0.1,8.3,5.6,3.7,5.87
ah-chizhou-dfe7ffac1e8a49b09d53ac0a3432d6a6,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/dfe7ffac1e8a49b09d53ac0a3432d6a6,池州市,4730853.24,4238134.88,,,市政公用工程,2022/5/24,抽取系数组数：3号系数组现场抽取x1系数值:14.7现场抽取x2系数值:12.4现场抽取x3系数值:8.8现场抽取M值为：0.7,3,0.7,14.7,12.4,8.8,11.97
ah-chizhou-eb386652915e4122af2fa7a0ec546e02,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/eb386652915e4122af2fa7a0ec546e02,池州市,39948320.7,35793695.35,,,市政公用工程,2022/5/24,"抽取系数组球号为3号；对应系数组为3；2、现场随机抽取系数值球号分别为1号、3号、7号，对应系数X1=0.7,X2=4.3,X3=9.33、现场随机抽m值球号为2号，对应的m权重值为0.3",3,0.3,0.7,4.3,9.3,4.77
ah-chizhou-11f267c0245d4c368cbb43707262f12e,https://ggj.chizhou.gov.cn/front/bidcontent/9005001004/11f267c0245d4c368cbb43707262f12e,池州市,14271322.35,13342915.56,,,市政公用工程,2022/6/7,抽取系数组数：3号球现场抽取x1值球号：5号球x1系数值:7.6现场抽取x2值球号：1号球x2系数值:0.7现场抽取x3值球号：3号球x3系数值:4B值（平均值）：4.1现场抽取M值球号：1号球M值为：0.1,3,0.1,7.6,0.7,4,4.1
