id,county,classify,project_type,title,zbkzj,kbjj,k1,k2,numbers_bidders,publish_time,source_website_address,trade_method
ah-huainan-00ee95ae-0e87-4c88-8536-bd69a6fef380-1KB,,工程建设,市政公用工程,寿县双桥镇淮河行蓄河区居民迁建双桥安置点污水处理厂,13987254.03,12998355.17,0.45,0.98,196,2023-06-25,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230625/00ee95ae-0e87-4c88-8536-bd69a6fef380-1KB.html,公开招标
ah-huainan-01ca01ac-ba2b-4de1-9306-b66c0a223752-1KB,市级,工程建设,工程施工,淮南市中医院迁址新建项目医用气体工程,5198308.8,4834427.18,,,18,2023-02-22,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230222/01ca01ac-ba2b-4de1-9306-b66c0a223752-1KB.html,公开招标
ah-huainan-0475afc0-0b3d-45cb-91be-634a70db1750-1KB,,工程建设,建筑工程,陶圩烘干厂建设项目,4000000.0,3659200.0,0.45,0.95,175,2023-06-26,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230626/0475afc0-0b3d-45cb-91be-634a70db1750-1KB.html,公开招标
ah-huainan-054724c2-af66-4a94-983b-ee0224c61d92-1KB,寿县,工程建设,公路工程,寿县2023年农村公路养护工程项目第一标段,5728467.9,5289094.41,0.6,0.96,150,2023-03-28,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230328/054724c2-af66-4a94-983b-ee0224c61d92-1KB.html,公开招标
ah-huainan-07f4d33e-af07-4c55-b0ba-7b1b10b9abba-1KB,寿县,工程建设,水利水电工程,大顺镇九井电站输水管道工程,5118706.68,4655486.88,0.1,,308,2023-05-29,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230529/07f4d33e-af07-4c55-b0ba-7b1b10b9abba-1KB.html,公开招标
ah-huainan-09c11461-3fd1-4c5a-b5af-7b093c957e37-1KB,,工程建设,市政公用工程,寿县西大街、南大街附属工程项目,9114200.0,7914761.3,0.4,0.92,261,2023-07-25,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230725/09c11461-3fd1-4c5a-b5af-7b093c957e37-1KB.html,
ah-huainan-0a207404-ef4b-4fd4-98c3-2c15327685fb-1KB,寿县,工程建设,市政公用工程,创业大道（西段）、兴业大道（西段）道路绿化提升改造工程,27726640.26,23567644.22,,,101,2023-05-18,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230524/0a207404-ef4b-4fd4-98c3-2c15327685fb-1KB.html,公开招标
ah-huainan-0a3a0d87-ec29-46e9-9893-3586b3a06faf-1KB,市级,工程建设,建筑工程,淮南高新区新能源汽车及装备制造产业园总装车间工程总承包（EPC）,100000000.0,88648000.0,0.0,,15,2023-03-22,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230322/0a3a0d87-ec29-46e9-9893-3586b3a06faf-1KB.html,公开招标
ah-huainan-0a5473bd-a81d-44c6-b50a-4ab3d7b331e1-1KB,寿县,工程建设,公路工程,2023年众兴镇农村公路提质改造工程第二标段,2507261.14,2194856.41,0.45,0.92,142,2023-03-30,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230330/0a5473bd-a81d-44c6-b50a-4ab3d7b331e1-1KB.html,公开招标
ah-huainan-0adb771b-95fb-4bc6-a8c5-65582ac717b8-1KB,寿县,工程建设,公路工程,寿县2023年农村公路安防设施提升工程第一标段,4152156.44,3630894.72,0.4,0.92,153,2023-03-31,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230331/0adb771b-95fb-4bc6-a8c5-65582ac717b8-1KB.html,公开招标
