id,项目名称,网址,ZBKZJ,k1,kbjj,k2,Date,整数位,小数位,下浮率,rule1
A3311011160010761001001,遂昌县王村口镇第七批（2019年度）历史文化村落保护利用重点村项目—桥西村外立面、环境提升工程开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/1/12/art_1229662124_187586.html,426555.237,0.928,395843.26,0,2022-01-12,7,2,7.2,8.87
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/25/art_1229662124_159430.html,484151.998,0.906,438641.71,0,2019-09-25,9,4,9.4,9.24
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/9/art_1229662124_159554.html,518974.002,0.907,470709.42,0,2019-10-09,9,3,9.3,8.64
A3311011160012195,2022-2025年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）——云峰街道同心村陈岙生活污水处理设施提升改造,http://lssggzy.lishui.gov.cn/art/2022/11/25/art_1229662124_188287.html,562562.966,0.917,515870.24,0,2022-11-25,8,3,8.3,9.71
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/16/art_1229661956_138130.html,571216.723,0.891,508954.1,0,2020-10-16,10,9,10.9,8.2
A3311011160012194001001,2022-2025年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）——云峰街道龙口村寺后生活污水处理设施提升改造开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/11/24/art_1229662124_188222.html,591202.233,0.936,553365.29,0,2022-11-24,6,4,6.4,8.7
A3311011160011970003001,遂昌县第六批（2018年度）历史文化村落保护利用重点村（湖山乡福罗淤村）三期项目开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/10/12/art_1229662124_188177.html,659273.003,0.919,605871.89,0,2022-10-12,8,1,8.1,10.61
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/4/art_1229662124_159594.html,719050.871,0.919,660807.75,0,2019-06-04,8,1,8.1,8.3
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/5/art_1229661852_132085.html,788853.476,0.932,735211.44,0,2019-09-05,6,8,6.8,9.91
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2021/4/7/art_1229662124_161671.html,804883.998,0.928,746932.35,0,2021-04-07,7,2,7.2,9.86
