id,项目名称,网址,ZBKZJ,k1,kbjj,k2,Date,整数位,小数位
A3311011160010761001001,遂昌县王村口镇第七批（2019年度）历史文化村落保护利用重点村项目—桥西村外立面、环境提升工程开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/1/12/art_1229662124_187586.html,426555.237,0.928,395843.26,0,2022/1/12,7,2
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/25/art_1229662124_159430.html,484151.998,0.906,438641.71,0,2019/9/25,9,4
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/9/art_1229662124_159554.html,518974.002,0.907,470709.42,0,2019/10/9,9,3
A3311011160012195,2022-2025年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）——云峰街道同心村陈岙生活污水处理设施提升改造,http://lssggzy.lishui.gov.cn/art/2022/11/25/art_1229662124_188287.html,562562.966,0.917,515870.24,0,2022/11/25,8,3
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/16/art_1229661956_138130.html,571216.723,0.891,508954.1,0,2020/10/16,10,9
A3311011160012194001001,2022-2025年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）——云峰街道龙口村寺后生活污水处理设施提升改造开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/11/24/art_1229662124_188222.html,591202.233,0.936,553365.29,0,2022/11/24,6,4
A3311011160011970003001,遂昌县第六批（2018年度）历史文化村落保护利用重点村（湖山乡福罗淤村）三期项目开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/10/12/art_1229662124_188177.html,659273.003,0.919,605871.89,0,2022/10/12,8,1
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/4/art_1229662124_159594.html,719050.871,0.919,660807.75,0,2019/6/4,8,1
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/7/25/art_1229662124_159760.html,747271.005,0.945,706171.1,0,2019/7/25,5,5
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/5/art_1229661852_132085.html,788853.476,0.932,735211.44,0,2019/9/5,6,8
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2021/4/7/art_1229662124_161671.html,804883.998,0.928,746932.35,0,2021/4/7,7,2
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/9/art_1229661956_137919.html,855761.958,0.899,769330.0,0,2020/9/9,10,1
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/12/art_1229662124_159364.html,927759.904,0.937,869311.03,0,2019/9/12,6,3
A3311011160012282,青田县中医医院北山中心分院医技综合楼项目-边坡治理,http://lssggzy.lishui.gov.cn/art/2022/12/15/art_1229661956_210649.html,960509.333,0.9,864458.4,0,2022/12/15,10,0
A3311011160010497002001,0,http://lssggzy.lishui.gov.cn/art/2021/6/9/art_1229661956_138831.html,970037.593,0.885,858483.27,0,2021/6/9,11,5
A3311011160010497002001,0,http://lssggzy.lishui.gov.cn/art/2021/6/17/art_1229661812_159113.html,1009200.0,0.874,882040.8,0,2021/6/17,12,6
A3311011160012239,遂昌县2022-2025 年农村生活污水治理设施提升改造项目（2022 年农村生活污水治理设施 提升改造项目）——新路湾镇新溪村溪淤生活污水处理设施提升改造,http://lssggzy.lishui.gov.cn/art/2022/12/4/art_1229662124_188280.html,1028673.3,0.891,916547.91,0,2022/12/4,10,9
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/4/art_1229661852_132077.html,1035030.886,0.914,946018.23,0,2019/9/4,8,6
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/30/art_1229662124_160941.html,1035393.002,0.926,958773.92,0,2020/7/30,7,4
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/10/art_1229661852_132123.html,1042884.0,0.92,959453.28,0,2019/10/10,8,0
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/19/art_1229661852_132040.html,1066825.005,0.933,995347.73,0,2019/6/19,6,7
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/3/31/art_1229661852_132107.html,1068146.0,0.935,998716.51,0,2020/3/31,6,5
A3311011160012241001001,遂昌县2022-2025 年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）--新路湾镇胡家村生活污水处理设施提升改造开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/11/28/art_1229662124_188226.html,1075553.847,0.915,984131.77,0,2022/11/28,8,5
A3311011160010497002001,0,http://lssggzy.lishui.gov.cn/art/2021/6/25/art_1229661812_159217.html,1080600.0,0.92,994152.0,0,2021/6/25,8,0
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/3/art_1229661852_132154.html,1083735.006,0.899,974277.77,0,2020/7/3,10,1
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/26/art_1229661956_138237.html,1086809.319,0.91,988996.48,0,2020/10/26,9,0
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/4/30/art_1229661989_137242.html,1101460.0,0.96,1057401.6,0,2020/4/30,4,0
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/7/art_1229662124_160783.html,1114286.999,0.893,995058.29,0,2020/7/7,10,7
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/12/1/art_1229662124_161225.html,1114795.567,0.943,1051252.22,0,2020/12/1,5,7
A3311011160011892,2022-2025年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）-垵口乡大山村三宝栏和大山生活污水处理设施提升改造,http://lssggzy.lishui.gov.cn/art/2022/10/12/art_1229662124_188316.html,1135001.0,0.94,1066900.94,0,2022/10/12,6,0
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/10/art_1229662124_160020.html,1157869.995,0.933,1079713.77,0,2019/12/10,6,7
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/2/art_1229661852_132151.html,1162720.998,0.882,1025519.92,0,2020/7/2,11,8
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/11/art_1229662124_160286.html,1184441.004,0.916,1084947.96,0,2020/9/11,8,4
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/11/art_1229661852_132036.html,1188098.004,0.932,1107307.34,0,2019/6/11,6,8
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/16/art_1229661852_132153.html,1203871.998,0.916,1102746.75,0,2020/10/16,8,4
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/3/20/art_1229661852_132080.html,1213721.005,0.935,1134829.14,0,2019/3/20,6,5
A3311011160012150,云和县中等职业技术学校产教融合中心二期工程监理,http://lssggzy.lishui.gov.cn/art/2023/1/16/art_1229661989_192834.html,1219692.997,0.901,1098943.39,0,2023/1/16,9,9
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2021/1/4/art_1229662089_160777.html,1220104.007,0.906,1105414.23,0,2021/1/4,9,4
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/18/art_1229662124_160416.html,1234086.004,0.896,1105741.06,0,2020/9/18,10,4
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2021/2/26/art_1229661812_158385.html,1285286.999,0.913,1173467.03,0,2021/2/26,8,7
A3311011160013159,龙泉市龙渊片区2023年度老旧小区改造工程（一期）监理,http://lssggzy.lishui.gov.cn/art/2023/6/25/art_1229661923_215784.html,1285300.0,0.9,1156770.0,0,2023/6/25,10,0
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/3/15/art_1229661852_132072.html,1307501.998,0.936,1223821.87,0,2019/3/15,6,4
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/17/art_1229661852_132081.html,1326127.996,0.933,1237277.42,0,2019/12/17,6,7
A3311011160012353,淤上乡毛竹加工园一期屋顶光伏项目,http://lssggzy.lishui.gov.cn/art/2022/12/14/art_1229662056_190463.html,1339481.0,0.94,1259112.14,0,2022/12/14,6,0
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/4/8/art_1229661812_157384.html,1340240.0,0.934,1251784.16,0,2019/4/8,6,6
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/16/art_1229661812_158065.html,1350000.0,0.88,1188000.0,0,2020/10/16,12,0
A3311011160012392,浙江省级第八批历史文化村落保护利用重点村项目-黄沙腰镇上定村三期工程,http://lssggzy.lishui.gov.cn/art/2022/12/26/art_1229662124_191275.html,1351229.362,0.894,1207999.05,0,2022/12/26,10,6
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/28/art_1229661852_132052.html,1352563.005,0.925,1251120.78,0,2019/6/28,7,5
