"id","county","classify","project_type","zbkzj","k1","k2","kbjj","publish_time","source_website_address","numbers_bidders","trade_method"
"ah-huainan-00ee95ae-0e87-4c88-8536-bd69a6fef380-1KB",,"工程建设","市政公用工程","13987254.03","0.45","0.98","12998355.17","25/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230625/00ee95ae-0e87-4c88-8536-bd69a6fef380-1KB.html","196","公开招标"
"ah-huainan-0475afc0-0b3d-45cb-91be-634a70db1750-1KB",,"工程建设",,,"0.45","0.95",,"26/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230626/0475afc0-0b3d-45cb-91be-634a70db1750-1KB.html","175","公开招标"
"ah-huainan-0af4d2d7-c8d7-42c0-bdf2-f93e36a34820-1KB",,"工程建设",,,"0",,,"25/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230625/0af4d2d7-c8d7-42c0-bdf2-f93e36a34820-1KB.html","38","公开招标"
"ah-huainan-15b79119-585b-4b3f-af68-2f877bcb3c61-1KB",,"工程建设",,,,,,"29/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230629/15b79119-585b-4b3f-af68-2f877bcb3c61-1KB.html","39",
"ah-huainan-1971435b-eb1f-4037-8c63-7f897148cb7d-1KB",,"工程建设",,,,,,"26/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230626/1971435b-eb1f-4037-8c63-7f897148cb7d-1KB.html","11","公开招标"
"ah-huainan-2e35884d-08f6-409e-9c31-32aab519089a-1KB",,"工程建设",,,"0.4","0.98",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/2e35884d-08f6-409e-9c31-32aab519089a-1KB.html","181",
"ah-huainan-34b6ba2b-b78f-4aef-b2b9-2b7f3206deea-1KB",,"工程建设",,,"0.4","0.98",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/34b6ba2b-b78f-4aef-b2b9-2b7f3206deea-1KB.html","180",
"ah-huainan-34dfc11a-d912-43ec-973e-e8714923fec2-1KB",,"工程建设",,,"0.5","0.96",,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/34dfc11a-d912-43ec-973e-e8714923fec2-1KB.html","181",
"ah-huainan-37ecffef-c8e9-42c3-9ab5-c3ecffd33850-1KB",,"工程建设",,,,,,"27/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230627/37ecffef-c8e9-42c3-9ab5-c3ecffd33850-1KB.html","23",
"ah-huainan-3ca41e55-7db5-45db-93e8-50c0c232db24-1KB",,"工程建设",,,"0",,,"29/6/2023 00:00:00","http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230629/3ca41e55-7db5-45db-93e8-50c0c232db24-1KB.html","72",
